CODGEO;LIBGEO;CS1_81_IMMI1_SEXE1;CS1_81_IMMI1_SEXE2;CS1_81_IMMI2_SEXE1;CS1_81_IMMI2_SEXE2;CS1_82_IMMI1_SEXE1;CS1_82_IMMI1_SEXE2;CS1_82_IMMI2_SEXE1;CS1_82_IMMI2_SEXE2;CS1_83_IMMI1_SEXE1;CS1_83_IMMI1_SEXE2;CS1_83_IMMI2_SEXE1;CS1_83_IMMI2_SEXE2;CS1_84_IMMI1_SEXE1;CS1_84_IMMI1_SEXE2;CS1_84_IMMI2_SEXE1;CS1_84_IMMI2_SEXE2;CS1_85_IMMI1_SEXE1;CS1_85_IMMI1_SEXE2;CS1_85_IMMI2_SEXE1;CS1_85_IMMI2_SEXE2;CS1_86_IMMI1_SEXE1;CS1_86_IMMI1_SEXE2;CS1_86_IMMI2_SEXE1;CS1_86_IMMI2_SEXE2;CS1_87_IMMI1_SEXE1;CS1_87_IMMI1_SEXE2;CS1_87_IMMI2_SEXE1;CS1_87_IMMI2_SEXE2;CS1_88_IMMI1_SEXE1;CS1_88_IMMI1_SEXE2;CS1_88_IMMI2_SEXE1;CS1_88_IMMI2_SEXE2
72317;Saint-Rémy-du-Val;0;0;16;5;0;0;11;11;0;0;5;11;0;0;5;16;0;0;11;42;0;0;84;16;0;0;89;95;5;0;42;89
72319;Sainte-Sabine-sur-Longève;0;0;35;10;0;0;20;15;0;5;30;10;0;0;50;50;0;0;10;114;0;0;85;5;0;0;40;45;0;0;115;110
72320;Saint-Saturnin;0;0;0;0;0;0;15;20;15;5;174;80;0;0;140;198;5;0;89;260;10;0;135;40;0;0;252;247;0;10;355;409
72321;Saint-Symphorien;0;0;25;10;0;0;15;5;0;0;20;10;0;0;40;40;0;0;5;35;0;0;70;20;0;0;64;50;0;0;80;100
72322;Saint-Ulphace;0;0;5;10;0;0;5;0;0;0;0;5;0;0;0;5;0;0;5;10;0;0;21;5;0;0;51;31;0;0;51;21
72323;Saint-Victeur;0;0;15;10;0;0;5;10;0;0;0;10;0;0;15;10;0;0;0;62;0;0;82;21;0;0;36;15;0;0;72;87
72324;Saint-Vincent-des-Prés;0;0;5;0;0;0;5;5;0;0;5;10;0;0;0;10;5;0;10;60;0;0;94;20;5;5;70;45;0;0;85;65
72325;Saint-Vincent-du-Lorouër;0;0;5;5;0;0;15;0;0;0;30;5;0;0;35;30;0;0;15;95;0;0;75;20;5;0;125;154;0;0;150;125
72326;Saosnes;0;0;0;0;0;0;5;0;0;0;0;0;0;0;10;21;0;0;0;10;0;0;31;16;0;0;31;21;0;0;42;26
72327;Sarcé;0;0;20;0;5;0;5;5;0;0;15;0;0;0;10;15;0;0;5;20;0;0;20;20;0;0;49;30;0;0;49;54
72328;Sargé-lès-le-Mans;0;0;10;0;0;0;50;25;0;5;197;76;10;5;212;268;0;20;76;308;10;0;212;50;25;5;530;585;5;10;454;495
72329;Savigné-l'Évêque;0;0;20;12;0;0;79;32;4;0;148;71;0;0;244;236;0;4;72;446;12;4;410;60;8;4;534;574;0;8;501;550
72330;Savigné-sous-le-Lude;0;0;16;4;0;0;12;4;0;0;12;0;0;0;12;24;0;0;4;56;0;0;68;16;4;8;36;24;0;0;40;80
72331;Sceaux-sur-Huisne;0;0;12;4;0;0;20;8;0;0;16;4;0;0;24;20;0;0;8;64;4;0;92;48;0;0;28;40;0;0;88;84
72332;Ségrie;0;0;16;12;0;0;12;8;0;0;8;8;0;0;36;24;0;4;16;60;0;0;92;4;0;0;60;80;0;0;92;76
72333;Semur-en-Vallon;0;0;5;5;0;0;0;5;0;0;5;0;0;0;15;25;0;0;10;20;5;0;80;20;0;0;60;55;0;0;85;65
72334;Sillé-le-Guillaume;0;0;5;0;0;0;40;25;5;5;35;25;0;0;121;71;0;5;45;197;10;0;212;101;5;10;293;500;5;5;311;302
72335;Sillé-le-Philippe;0;0;8;4;0;0;12;8;0;0;36;20;0;0;88;72;0;0;12;128;0;0;128;52;0;0;104;88;0;0;167;159
72336;Solesmes;0;0;0;0;0;0;25;25;0;0;64;10;0;0;70;60;0;0;15;70;5;0;95;30;5;5;220;270;10;5;115;124
72337;Sougé-le-Ganelon;0;0;25;5;0;0;35;10;0;0;10;5;0;0;30;35;0;0;15;84;0;0;99;25;0;0;139;134;0;0;109;129
72338;Souillé;0;0;0;0;0;0;20;15;0;5;25;5;0;0;30;35;0;0;20;100;0;0;60;15;0;0;35;45;0;0;145;95
72339;Souligné-Flacé;0;0;25;5;0;0;5;5;0;0;5;20;0;0;55;50;0;0;15;95;0;0;60;20;0;0;55;45;0;0;85;141
72340;Souligné-sous-Ballon;0;0;14;10;0;0;19;10;0;0;14;10;0;0;77;82;0;5;34;140;0;0;183;43;0;0;106;101;0;0;130;183
72341;Soulitré;0;0;8;4;0;0;16;8;4;0;12;0;0;0;36;36;0;0;20;83;0;0;72;28;0;0;64;40;0;0;143;91
72342;Souvigné-sur-Même;0;0;0;0;0;0;0;4;0;0;16;4;0;0;12;0;0;0;0;24;0;0;24;12;0;0;20;24;0;0;20;24
72343;Souvigné-sur-Sarthe;0;0;45;20;0;0;25;5;5;0;0;20;0;0;35;10;0;5;10;59;0;5;25;49;5;5;64;49;0;5;84;94
72344;Spay;0;0;10;0;0;0;50;15;0;0;110;55;10;10;225;213;0;0;80;330;10;0;224;85;5;0;344;293;5;0;390;445
72345;Surfonds;0;0;0;0;0;0;4;0;0;0;12;4;0;0;28;16;0;0;0;44;4;0;48;20;0;0;32;20;0;0;68;40
72346;La Suze-sur-Sarthe;0;0;8;0;0;0;57;24;8;0;90;53;4;0;237;216;0;16;86;530;12;0;501;114;4;4;565;665;0;0;548;712
72347;Tassé;0;0;16;4;0;0;12;4;0;0;4;0;0;0;8;8;0;0;0;16;0;0;33;20;0;0;25;33;0;0;45;74
72348;Tassillé;0;0;4;0;0;0;0;4;0;0;4;0;0;0;8;4;0;0;0;24;0;0;20;4;0;0;16;20;0;0;32;8
72349;Teillé;0;0;16;0;0;0;8;0;0;0;0;4;0;0;44;28;0;0;8;72;0;0;44;8;0;0;56;68;0;0;68;72
72350;Teloché;0;0;15;5;5;5;55;50;0;0;95;65;0;0;171;196;0;0;105;385;0;0;286;75;0;5;308;319;0;0;388;525
72351;Tennie;0;0;25;17;0;0;21;8;0;4;17;16;0;0;54;41;0;0;17;111;4;0;111;12;4;0;111;205;0;0;198;169
72352;Terrehault;0;0;0;0;0;0;5;0;0;0;0;5;0;0;0;14;0;0;10;10;0;0;5;10;0;0;15;15;5;0;40;10
72353;Théligny;0;0;8;8;0;0;0;8;0;0;4;4;0;0;12;12;0;0;0;4;0;0;20;20;0;0;32;28;0;0;32;32
72354;Thoigné;0;0;0;0;0;0;10;5;0;0;5;10;0;0;0;10;0;0;5;10;0;0;20;0;0;0;25;20;0;0;35;15
72355;Thoiré-sous-Contensor;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;0;0;0;5;0;0;20;10;0;0;5;10;0;0;5;25
72356;Thoiré-sur-Dinan;0;0;4;4;0;0;16;0;0;0;0;8;4;0;24;29;0;0;4;45;0;0;45;12;0;0;49;49;0;0;98;57
72357;Thorée-les-Pins;0;0;8;4;0;0;24;0;0;0;4;8;0;0;40;28;4;0;12;112;0;0;88;16;0;4;76;72;0;0;131;80
72358;Thorigné-sur-Dué;0;0;5;5;10;0;35;25;0;0;20;10;0;5;80;55;0;0;15;174;5;5;195;100;0;0;185;190;0;5;225;240
72359;Torcé-en-Vallée;0;0;16;12;0;0;28;12;0;4;20;8;0;0;101;57;0;4;32;178;0;0;162;61;4;0;133;97;0;0;186;262
72360;Trangé;0;0;15;0;5;0;15;5;5;10;55;30;5;5;95;110;5;0;30;164;0;5;114;30;0;0;95;119;5;5;279;149
72361;Tresson;0;0;10;0;0;0;20;5;0;0;10;0;5;5;20;10;0;0;9;44;0;5;30;30;0;5;75;55;0;0;64;54
72362;Le Tronchet;0;0;0;0;0;0;0;4;0;0;12;0;0;0;0;8;0;0;16;16;0;0;20;4;0;0;16;12;0;0;12;20
